Time (s) Run #1,,analog
2011,1174,230
2012,1174,233
2013,1172,232
2014,1172,234
2015,1172,232
2016,1172,229
2017,1172,233
2018,1170,234
2019,1170,233
2020,1170,229
2021,1170,214
2022,1170,231
2023,1168,231
2024,1168,229
2025,1168,209
2026,1166,224
2027,1166,225
2028,1166,216
2029,1164,226
2030,1164,214
2031,1164,220
2032,1164,235
2033,1164,212
2034,1162,237
2035,1162,240
2036,1162,240
2037,1162,241
2038,1160,243
2039,1160,244
2040,1160,243
2041,1160,243
2042,1158,243
2043,1158,244
2044,1158,244
2045,1158,244
2046,1158,243
2047,1158,243
2048,1158,243
2049,1158,243
2050,1158,242
2051,1158,242
2052,1158,240
2053,1158,242
2054,1158,240
2055,1158,252
2056,1160,253
2057,1160,252
2058,1160,252
2059,1160,253
2060,1160,253
2061,1162,253
2062,1162,253
2063,1162,253
2064,1162,253
2065,1164,252
2066,1164,253
2067,1166,253
2068,1166,251
2069,1166,250
2070,1166,250
2071,1168,251
2072,1168,251
2073,1168,250
2074,1170,250
2075,1170,250
2076,1170,250
2077,1170,250
2078,1172,251
2079,1172,251
